title,pdf_url,has_compute,has_energy,has_carbon,compute_matches,energy_matches,carbon_matches
Ehrenfeucht-Haussler Rank and Chain of Thought,https://raw.githubusercontent.com/mlresearch/v267/main/assets/barcelo25a/barcelo25a.pdf,False,False,False,,,
A Sample Efficient Conditional Independence Test in the Presence of Discretization,https://raw.githubusercontent.com/mlresearch/v267/main/assets/sun25y/sun25y.pdf,False,True,False,,kWh,
Variational Rectified Flow Matching,https://raw.githubusercontent.com/mlresearch/v267/main/assets/guo25i/guo25i.pdf,True,False,False,training\s+time; accelerator,,
MTL-UE: Learning to Learn Nothing for Multi-Task Learning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yu25r/yu25r.pdf,True,False,False,training\s+time,,
Leveraging Skills from Unlabeled Prior Data for Efficient Online Exploration,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wilcoxson25a/wilcoxson25a.pdf,True,False,False,GPU[\s\-]?hours?; V100,,
Understanding Model Ensemble in Transferable Adversarial Attack,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yao25f/yao25f.pdf,False,False,False,,,
"Right Now, Wrong Then: Non-Stationary Direct Preference Optimization under Preference Drift",https://raw.githubusercontent.com/mlresearch/v267/main/assets/son25a/son25a.pdf,True,True,False,A100; training\s+time,TDP,
LETS Forecast: Learning Embedology for Time Series Forecasting,https://raw.githubusercontent.com/mlresearch/v267/main/assets/majeedi25a/majeedi25a.pdf,False,False,False,,,
Secant Line Search for Frank-Wolfe Algorithms,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hendrych25a/hendrych25a.pdf,True,False,True,wall[\s\-]?clock,,LCA
Optimistic Algorithms for Adaptive Estimation of the Average Treatment Effect,https://raw.githubusercontent.com/mlresearch/v267/main/assets/neopane25a/neopane25a.pdf,False,False,False,,,
Dimension-Independent Rates for Structured Neural Density Estimation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/vandermeulen25a/vandermeulen25a.pdf,True,False,True,A100,,LCA
How Far Is Video Generation from World Model: A Physical Law Perspective,https://raw.githubusercontent.com/mlresearch/v267/main/assets/kang25g/kang25g.pdf,True,True,False,A100; training\s+time,PUE,
Understanding the difficulties of posterior predictive estimation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/agrawal25a/agrawal25a.pdf,True,True,False,A100; wall[\s\-]?clock,kWh,
Score as Action: Fine Tuning Diffusion Generative Models by Continuous-time Reinforcement Learning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhao25f/zhao25f.pdf,False,False,False,,,
Q-VDiT: Towards Accurate Quantization and Distillation of Video-Generation Diffusion Transformers,https://raw.githubusercontent.com/mlresearch/v267/main/assets/feng25q/feng25q.pdf,True,False,False,training\s+time; GPU\s+memory,,
HybridGS: High-Efficiency Gaussian Splatting Data Compression using Dual-Channel Sparse Representation and Point Cloud Encoder,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yang25ar/yang25ar.pdf,True,False,False,RTX\s?\d{4}; training\s+time,,
Mastering Multiple-Expert Routing: Realizable $H$-Consistency and Strong Guarantees for Learning to Defer,https://raw.githubusercontent.com/mlresearch/v267/main/assets/mao25c/mao25c.pdf,False,False,False,,,
From Black Boxes to Transparent Minds: Evaluating and Enhancing the Theory of Mind in Multimodal Large Language Models,https://raw.githubusercontent.com/mlresearch/v267/main/assets/li25bj/li25bj.pdf,False,False,False,,,
What Do Learning Dynamics Reveal About Generalization in LLM Mathematical Reasoning?,https://raw.githubusercontent.com/mlresearch/v267/main/assets/kang25f/kang25f.pdf,False,False,False,,,
Local Pan-privacy for Federated Analytics,https://raw.githubusercontent.com/mlresearch/v267/main/assets/feldman25a/feldman25a.pdf,False,False,False,,,
Learning Time-Aware Causal Representation for Model Generalization in Evolving Domains,https://raw.githubusercontent.com/mlresearch/v267/main/assets/he25j/he25j.pdf,True,False,True,RTX\s?\d{4}; training\s+time,,LCA
Can We Predict Performance of Large Models across Vision-Language Tasks?,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhao25y/zhao25y.pdf,True,False,False,A100,,
SIMPLEMIX: Frustratingly Simple Mixing of Off- and On-policy Data in Language Model Preference Learning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/li25au/li25au.pdf,False,False,True,,,LCA
Unifying Specialized Visual Encoders for Video Language Models,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chung25a/chung25a.pdf,True,False,False,H100; L40; training\s+time; FLOPs,,
Why Is Spatial Reasoning Hard for VLMs? An Attention Mechanism Perspective on Focus Areas,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chen25cr/chen25cr.pdf,False,False,False,,,
XAttnMark: Learning Robust Audio Watermarking with Cross-Attention,https://raw.githubusercontent.com/mlresearch/v267/main/assets/liu25ap/liu25ap.pdf,True,False,False,FLOPs,,
Outlier Gradient Analysis: Efficiently Identifying Detrimental Training Samples for Deep Learning Models,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chhabra25a/chhabra25a.pdf,True,False,False,V100; A6000; training\s+time,,
Simultaneous Multi-Robot Motion Planning with Projected Diffusion Models,https://raw.githubusercontent.com/mlresearch/v267/main/assets/liang25e/liang25e.pdf,True,True,False,A6000,energy\s+consumption,
VIP: Vision Instructed Pre-training for Robotic Manipulation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/li25by/li25by.pdf,True,False,False,RTX\s?\d{4},,
Learning Event Completeness for Weakly Supervised Video Anomaly Detection,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25l/wang25l.pdf,False,False,False,,,
CateKV: On Sequential Consistency for Long-Context LLM Inference Acceleration,https://raw.githubusercontent.com/mlresearch/v267/main/assets/jiang25e/jiang25e.pdf,True,False,False,A100; GPU\s+memory,,
Simple and Critical Iterative Denoising: A Recasting of Discrete Diffusion in Graph Generation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/boget25a/boget25a.pdf,False,False,True,,,LCA
Ad Hoc Teamwork via Offline Goal-Based Decision Transformers,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25h/zhang25h.pdf,False,False,False,,,
Distribution-aware Fairness Learning in Medical Image Segmentation From A Control-Theoretic Perspective,https://raw.githubusercontent.com/mlresearch/v267/main/assets/oh25c/oh25c.pdf,True,False,False,A100; A6000; FLOPs,,
Improved Coresets for Vertical Federated Learning: Regularized Linear and Logistic Regressions,https://raw.githubusercontent.com/mlresearch/v267/main/assets/shit25a/shit25a.pdf,True,True,False,training\s+time,MWh,
HashAttention: Semantic Sparsity for Faster Inference,https://raw.githubusercontent.com/mlresearch/v267/main/assets/desai25a/desai25a.pdf,True,False,False,A100; GPU\s+memory,,
Diving into Self-Evolving Training for Multimodal Reasoning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/liu25aj/liu25aj.pdf,False,False,False,,,
A Chaotic Dynamics Framework Inspired by Dorsal Stream for Event Signal Processing,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chen25am/chen25am.pdf,True,False,False,RTX\s?\d{4},,
Multimodal Medical Code Tokenizer,https://raw.githubusercontent.com/mlresearch/v267/main/assets/su25b/su25b.pdf,True,False,False,H100,,
Efficient Generative Modeling with Residual Vector Quantization-Based Tokens,https://raw.githubusercontent.com/mlresearch/v267/main/assets/kim25ab/kim25ab.pdf,True,False,False,A100; wall[\s\-]?clock,,
Multi-Domain Graph Foundation Models: Robust Knowledge Transfer via Topology Alignment,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25dj/wang25dj.pdf,False,False,False,,,
Attention-Only Transformers via Unrolled Subspace Denoising,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25bu/wang25bu.pdf,False,False,True,,,LCA
Trusted Multi-View Classification with Expert Knowledge Constraints,https://raw.githubusercontent.com/mlresearch/v267/main/assets/liang25p/liang25p.pdf,True,False,False,RTX\s?\d{4},,
Accelerating LLM Inference with Lossless Speculative Decoding Algorithms for Heterogeneous Vocabularies,https://raw.githubusercontent.com/mlresearch/v267/main/assets/timor25a/timor25a.pdf,True,False,False,A100; H100; A6000; RTX\s?\d{4},,
Clustering Items through Bandit Feedback: Finding the Right Feature out of Many,https://raw.githubusercontent.com/mlresearch/v267/main/assets/graf25a/graf25a.pdf,False,False,False,,,
Large Language Model-driven Large Neighborhood Search for Large-Scale MILP Problems,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ye25j/ye25j.pdf,True,False,False,A100; wall[\s\-]?clock,,
De-coupled NeuroGF for Shortest Path Distance Approximations on Large Terrain Graphs,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chen25a/chen25a.pdf,True,False,False,A100; training\s+time,,
An Interpretable N-gram Perplexity Threat Model for Large Language Model Jailbreaks,https://raw.githubusercontent.com/mlresearch/v267/main/assets/boreiko25a/boreiko25a.pdf,True,False,True,compute\s+budget; FLOPs,,environmental\s+impact
Demystifying Catastrophic Forgetting in Two-Stage Incremental Object Detector,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wu25ap/wu25ap.pdf,True,False,True,L40; RTX\s?\d{4},,LCA
QPRL : Learning Optimal Policies with Quasi-Potential Functions for Asymmetric Traversal,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hossain25a/hossain25a.pdf,False,True,False,,energy\s+cost,
Oracle-MoE: Locality-preserving Routing in the Oracle Space for Memory-constrained Large Language Model Inference,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhou25b/zhou25b.pdf,True,False,True,wall[\s\-]?clock; GPU\s+memory,,LCA
Active Learning with Selective Time-Step Acquisition for PDEs,https://raw.githubusercontent.com/mlresearch/v267/main/assets/kim25m/kim25m.pdf,True,True,False,RTX\s?\d{4}; training\s+time; wall[\s\-]?clock,MWh,
Retraining-free Merging of Sparse MoE via Hierarchical Clustering,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chen25aq/chen25aq.pdf,True,True,False,A100; V100; FLOPs; GPU\s+memory,PUE,
VTGaussian-SLAM: RGBD SLAM for Large Scale Scenes with Splatting View-Tied 3D Gaussians,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hu25h/hu25h.pdf,True,False,False,RTX\s?\d{4}; GPU\s+memory,,
Provable and Practical Online Learning Rate Adaptation with Hypergradient Descent,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chu25a/chu25a.pdf,False,False,True,,,LCA
Position: We Can’t Understand AI Using our Existing Vocabulary,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hewitt25a/hewitt25a.pdf,False,True,False,,PUE,
Position: Uncertainty Quantification Needs Reassessment for Large Language Model Agents,https://raw.githubusercontent.com/mlresearch/v267/main/assets/kirchhof25b/kirchhof25b.pdf,False,False,False,,,
EVOLvE: Evaluating and Optimizing LLMs For In-Context Exploration,https://raw.githubusercontent.com/mlresearch/v267/main/assets/nie25b/nie25b.pdf,False,False,False,,,
Improving Value Estimation Critically Enhances Vanilla Policy Gradient,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25em/wang25em.pdf,False,False,False,,,
Interaction-Aware Gaussian Weighting for Clustered Federated Learning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/licciardi25a/licciardi25a.pdf,False,True,True,,kWh,sustainable\s+AI
Generalized Random Forests Using Fixed-Point Trees,https://raw.githubusercontent.com/mlresearch/v267/main/assets/fleischer25a/fleischer25a.pdf,True,False,False,training\s+time,,
A Mixed-Curvature based Pre-training Paradigm for Multi-Task Vehicle Routing Solver,https://raw.githubusercontent.com/mlresearch/v267/main/assets/liu25b/liu25b.pdf,True,False,False,A6000,,
Alpha-SQL: Zero-Shot Text-to-SQL using Monte Carlo Tree Search,https://raw.githubusercontent.com/mlresearch/v267/main/assets/li25dt/li25dt.pdf,True,False,False,FLOPs,,
Representation Preserving Multiclass Agnostic to Realizable Reduction,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hanneke25a/hanneke25a.pdf,False,True,True,,MWh,LCA
Robust Reward Alignment via Hypothesis Space Batch Cutting,https://raw.githubusercontent.com/mlresearch/v267/main/assets/xie25l/xie25l.pdf,False,False,False,,,
Compositional Condition Question Answering in Tabular Understanding,https://raw.githubusercontent.com/mlresearch/v267/main/assets/jiang25o/jiang25o.pdf,False,False,True,,,LCA
Scalable Attribute-Missing Graph Clustering via Neighborhood Differentiation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hu25ad/hu25ad.pdf,True,False,False,RTX\s?\d{4},,
Self-cross Feature based Spiking Neural Networks for Efficient Few-shot Learning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/xu25aq/xu25aq.pdf,True,True,False,FLOPs,power\s+consumption; energy\s+consumption; energy\s+cost; energy\s+efficiency,
TRACE Back from the Future: A Probabilistic Reasoning Approach to Controllable Language Generation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/weng25b/weng25b.pdf,True,False,False,A6000; training\s+time,,
Breaking Barriers: Combinatorial Algorithms for Non-Monotone Submodular Maximization with Sublinear Adaptivity and $1/e$ Approximation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chen25i/chen25i.pdf,False,False,False,,,
MATS: An Audio Language Model under Text-only Supervision,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25ai/wang25ai.pdf,True,False,False,A100,,
AutoAL: Automated Active Learning with Differentiable Query Strategy Search,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25ej/wang25ej.pdf,True,False,False,A100,,
It’s My Data Too: Private ML for Datasets with Multi-User Training Examples,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ganesh25a/ganesh25a.pdf,False,False,False,,,
Overcoming Vocabulary Mismatch: Vocabulary-agnostic Teacher Guided Language Modeling,https://raw.githubusercontent.com/mlresearch/v267/main/assets/shin25a/shin25a.pdf,True,False,False,H100,,
Uncertainty-Based Extensible Codebook for Discrete Federated Learning in Heterogeneous Data Silos,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25f/zhang25f.pdf,True,False,False,A6000,,
Enhancing the Influence of Labels on Unlabeled Nodes in Graph Convolutional Networks,https://raw.githubusercontent.com/mlresearch/v267/main/assets/huang25x/huang25x.pdf,True,False,False,A100,,
Pareto-Optimal Fronts for Benchmarking Symbolic Regression Algorithms,https://raw.githubusercontent.com/mlresearch/v267/main/assets/fong25b/fong25b.pdf,False,False,True,,,LCA
KernelBench: Can LLMs Write Efficient GPU Kernels?,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ouyang25a/ouyang25a.pdf,True,True,True,A100; H100; V100; L40; TPU[\s\-]?v\d; wall[\s\-]?clock; FLOPs; GPU\s+memory; accelerator,power\s+consumption; energy\s+consumption,carbon\s+footprint; LCA; environmental\s+impact
Moirai-MoE: Empowering Time Series Foundation Models with Sparse Mixture of Experts,https://raw.githubusercontent.com/mlresearch/v267/main/assets/liu25an/liu25an.pdf,True,False,False,A100; training\s+time; GPU\s+memory; pretraining\s+cost,,
Ranking with Multiple Oracles: From Weak to Strong Stochastic Transitivity,https://raw.githubusercontent.com/mlresearch/v267/main/assets/jin25h/jin25h.pdf,False,False,False,,,
Adapting to Linear Separable Subsets with Large-Margin in Differentially Private Learning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25fe/wang25fe.pdf,False,False,True,,,LCA
The Hidden Joules: Evaluating the Energy Consumption of Vision Backbones for Progress Towards More Efficient Model Inference,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yang25b/yang25b.pdf,True,True,True,A100; H100; V100; RTX\s?\d{4}; FLOPs; GPU\s+memory; accelerator,MWh; power\s+consumption; energy\s+consumption; energy\s+usage; energy\s+cost; energy\s+efficiency; energy\s+monitor; power\s+draw; TDP; joule,carbon\s+footprint; carbon\s+emission; greenhouse\s+gas; environmental\s+impact; sustainability\s+report; green\s+AI; sustainable\s+AI
Learning to (Learn at Test Time): RNNs with Expressive Hidden States,https://raw.githubusercontent.com/mlresearch/v267/main/assets/sun25h/sun25h.pdf,True,False,False,A100; TPU\s+pod; wall[\s\-]?clock; FLOPs,,
ConceptAttention: Diffusion Transformers Learn Highly Interpretable Features,https://raw.githubusercontent.com/mlresearch/v267/main/assets/helbling25a/helbling25a.pdf,False,False,False,,,
Policy Regularization on Globally Accessible States in Cross-Dynamics Reinforcement Learning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/xue25b/xue25b.pdf,True,False,False,V100,,
Attributes Shape the Embedding Space of Face Recognition Models,https://raw.githubusercontent.com/mlresearch/v267/main/assets/leroy25a/leroy25a.pdf,False,False,False,,,
Hierarchical Masked Autoregressive Models with Low-Resolution Token Pivots,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zheng25i/zheng25i.pdf,True,False,False,H100,,
Evaluating LLMs Across Multi-Cognitive Levels: From Medical Knowledge Mastery to Scenario-Based Problem Solving,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhou25n/zhou25n.pdf,False,False,True,,,LCA
From Local Details to Global Context: Advancing Vision-Language Models with Attention-Based Selection,https://raw.githubusercontent.com/mlresearch/v267/main/assets/cai25d/cai25d.pdf,False,False,False,,,
A Square Peg in a Square Hole: Meta-Expert for Long-Tailed Semi-Supervised Learning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hou25d/hou25d.pdf,True,False,False,A100,,
Distilling the Knowledge in Data Pruning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ben-baruch25a/ben-baruch25a.pdf,False,False,True,,,LCA
Unpaired Point Cloud Completion via Unbalanced Optimal Transport,https://raw.githubusercontent.com/mlresearch/v267/main/assets/lee25e/lee25e.pdf,False,False,False,,,
LLaVA-ReID: Selective Multi-image Questioner for Interactive Person Re-Identification,https://raw.githubusercontent.com/mlresearch/v267/main/assets/lu25s/lu25s.pdf,False,False,False,,,
SpeCache: Speculative Key-Value Caching for Efficient Generation of LLMs,https://raw.githubusercontent.com/mlresearch/v267/main/assets/jie25a/jie25a.pdf,True,False,True,A6000; FLOPs; GPU\s+memory,,LCA
LaMAGIC2: Advanced Circuit Formulations for Language Model-Based Analog Topology Generation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chang25b/chang25b.pdf,True,False,False,V100,,
Understanding Overadaptation in Supervised Fine-Tuning: The Role of Ensemble Methods,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hao25d/hao25d.pdf,True,False,False,H100,,
$S^2$FGL: Spatial Spectral Federated Graph Learning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/tan25d/tan25d.pdf,False,False,False,,,
Residual TPP: A Unified Lightweight Approach for Event Stream Data Analysis,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yuan25a/yuan25a.pdf,True,False,True,training\s+time,,LCA
Are Large Brainwave Foundation Models Capable Yet ? Insights from Fine-Tuning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/lee25a/lee25a.pdf,False,False,False,,,
Generative Data Mining with Longtail-Guided Diffusion,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hayden25a/hayden25a.pdf,True,True,False,H100; A40; training\s+time,kWh; MWh,
Few-Shot Learner Generalizes Across AI-Generated Image Detection,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wu25r/wu25r.pdf,True,False,True,A100,,LCA
Towards Cost-Effective Reward Guided Text Generation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/rashid25a/rashid25a.pdf,True,False,False,A100; A40; training\s+time,,
STD-FD: Spatio-Temporal Distribution Fitting Deviation for AIGC Forgery Identification,https://raw.githubusercontent.com/mlresearch/v267/main/assets/lou25a/lou25a.pdf,True,False,False,A40; RTX\s?\d{4},,
VideoRoPE: What Makes for Good Video Rotary Position Embedding?,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wei25h/wei25h.pdf,True,False,False,GPU[\s\-]?hours?; A100,,
Finite-Sample Convergence Bounds for Trust Region Policy Optimization in Mean Field Games,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ocello25a/ocello25a.pdf,False,False,False,,,
any4: Learned 4-bit Numeric Representation for LLMs,https://raw.githubusercontent.com/mlresearch/v267/main/assets/elhoushi25a/elhoushi25a.pdf,True,True,True,A100; H100,kWh,LCA
CursorCore: Assist Programming through Aligning Anything,https://raw.githubusercontent.com/mlresearch/v267/main/assets/jiang25f/jiang25f.pdf,True,False,False,RTX\s?\d{4},,
Position: LLMs Need a Bayesian Meta-Reasoning Framework for More Robust and Generalizable Reasoning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yan25g/yan25g.pdf,False,False,False,,,
Internal Causal Mechanisms Robustly Predict Language Model Out-of-Distribution Behaviors,https://raw.githubusercontent.com/mlresearch/v267/main/assets/huang25af/huang25af.pdf,False,True,True,,MWh,LCA
Sketch to Adapt: Fine-Tunable Sketches for Efficient LLM Adaptation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25bs/zhang25bs.pdf,True,False,True,A100; RTX\s?\d{4}; training\s+time; GPU\s+memory,,sustainable\s+AI
Idiosyncrasies in Large Language Models,https://raw.githubusercontent.com/mlresearch/v267/main/assets/sun25z/sun25z.pdf,False,False,True,,,greenhouse\s+gas; LCA
EvoPress: Accurate Dynamic Model Compression via Evolutionary Search,https://raw.githubusercontent.com/mlresearch/v267/main/assets/sieberling25a/sieberling25a.pdf,True,False,True,GPU[\s\-]?hours?; RTX\s?\d{4}; wall[\s\-]?clock,,LCA
Do We Need to Verify Step by Step? Rethinking Process Supervision from a Theoretical Perspective,https://raw.githubusercontent.com/mlresearch/v267/main/assets/jia25f/jia25f.pdf,False,False,False,,,
Contextual Linear Bandits with Delay as Payoff,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25ca/zhang25ca.pdf,False,False,False,,,
Subgoal-Guided Policy Heuristic Search with Learned Subgoals,https://raw.githubusercontent.com/mlresearch/v267/main/assets/tuero25a/tuero25a.pdf,False,False,False,,,
Heterogeneous Treatment Effect in Time-to-Event Outcomes: Harnessing Censored Data with Recursively Imputed Trees,https://raw.githubusercontent.com/mlresearch/v267/main/assets/meir25a/meir25a.pdf,False,False,False,,,
Galileo: Learning Global & Local Features of Many Remote Sensing Modalities,https://raw.githubusercontent.com/mlresearch/v267/main/assets/tseng25a/tseng25a.pdf,True,False,False,GPU[\s\-]?hours?; H100; training\s+time; pretraining\s+cost,,
TSP: A Two-Sided Smoothed Primal-Dual Method for Nonconvex Bilevel Optimization,https://raw.githubusercontent.com/mlresearch/v267/main/assets/lu25k/lu25k.pdf,False,False,False,,,
Boosting Multi-Domain Fine-Tuning of Large Language Models through Evolving Interactions between Samples,https://raw.githubusercontent.com/mlresearch/v267/main/assets/liang25q/liang25q.pdf,True,False,False,A100,,
To Steer or Not to Steer? Mechanistic Error Reduction with Abstention for Language Models,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hedstrom25a/hedstrom25a.pdf,True,False,False,compute\s+cost,,
MxMoE: Mixed-precision Quantization for MoE with Accuracy and Performance Co-Design,https://raw.githubusercontent.com/mlresearch/v267/main/assets/duanmu25a/duanmu25a.pdf,True,False,False,A100; H100; RTX\s?\d{4}; wall[\s\-]?clock; FLOPs,,
Zero-Shot Offline Imitation Learning via Optimal Transport,https://raw.githubusercontent.com/mlresearch/v267/main/assets/rupf25a/rupf25a.pdf,True,True,True,A100; A40; RTX\s?\d{4}; compute\s+cost,kWh,LCA
Universal Biological Sequence Reranking for Improved De Novo Peptide Sequencing,https://raw.githubusercontent.com/mlresearch/v267/main/assets/qiu25i/qiu25i.pdf,True,False,True,A100; training\s+time,,LCA
